year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,4005,20280,2478,563,17562,40883,6.6482401
2000,4007,7700,497,381,9158,17736,8.220568336
2000,4009,3355,144,158,6007,9664,27.44205298
2000,4011,1216,68,57,1619,2960,13.61486486
2000,4012,1769,91,80,2543,4483,17.26522418
2000,4013,386683,22465,12584,479967,901699,10.34535915
2000,4015,17470,1323,962,24386,44141,15.66797309
2000,4017,11794,517,450,12386,25147,2.354157554
2000,4019,147688,12355,3018,124579,287640,8.034000834
2000,4021,19650,904,614,20122,41290,1.143133931
2000,4023,5233,217,99,3344,8893,21.24142584
2000,4025,24063,2733,1288,40144,68228,23.56950226
2000,4027,12055,495,394,15708,28652,12.74954628
2000,5001,2877,65,77,3353,6372,7.470182046
2000,5003,4253,61,81,3876,8271,4.558094547
2000,5005,6516,429,225,9538,16708,18.08714388
2000,5007,17277,862,669,34838,53646,32.73496626
2000,5009,4493,289,284,8569,13635,29.89365603
2000,5011,2122,34,30,1793,3979,8.268409148
2000,5013,1017,19,21,1128,2185,5.080091533
2000,5015,3595,301,138,5556,9590,20.44838373
2000,5017,2820,26,42,1564,4452,28.21203953
2000,5019,4661,103,86,3776,8626,10.25968004
2000,5021,3527,73,46,2254,5900,21.57627119
2000,5023,4120,183,174,5730,10207,15.77348878
2000,5025,1414,30,59,1678,3181,8.299276957
2000,5027,4003,70,216,5018,9307,10.90576985
2000,5029,3496,84,109,3545,7234,0.677356926
2000,5031,12376,409,214,12158,25157,0.866558016
2000,5033,6288,223,310,10804,17625,25.62269504
2000,5035,7224,97,56,5857,13234,10.32945444
2000,5037,3096,38,48,3033,6215,1.013676589
2000,5039,1710,21,23,1571,3325,4.180451128
2000,5041,2776,38,78,1603,4495,26.09566185
2000,5043,3060,47,59,2756,5922,5.133400878
2000,5045,11950,513,698,16055,29216,14.05052026
2000,5047,2674,100,89,3277,6140,9.820846906
2000,5049,1976,51,45,2036,4108,1.460564752
2000,5051,15840,566,431,19098,35935,9.066369834
2000,5053,2535,88,105,3285,6013,12.47297522
2000,5055,6319,205,129,5831,12484,3.909003525
2000,5057,3937,50,45,3257,7289,9.32912608
2000,5059,5527,202,210,5042,10981,4.416719789
2000,5061,2063,50,20,2326,4459,5.898183449
2000,5063,5146,171,132,6145,11594,8.616525789
2000,5065,2587,76,68,2301,5032,5.683624801
2000,5067,3651,77,64,2280,6072,22.57905138
2000,5069,17716,361,359,8765,27201,32.90687842
2000,5071,3270,109,125,3657,7161,5.404273146
2000,5073,1806,27,12,1538,3383,7.921962755
2000,5075,3255,87,72,2626,6040,10.41390728
2000,5077,2727,18,25,1351,4121,33.38995389
2000,5079,1957,21,42,1526,3546,12.15454033
2000,5081,2883,50,47,2283,5263,11.40034201
2000,5083,3283,124,202,4487,8096,14.8715415
2000,5085,6851,237,249,10606,17943,20.92738115
2000,5087,2055,88,98,3387,5628,23.6673774
